Province Code,Province Description,Municipalities Code,Municipalities Description
AZ,Azua,AZ.AC,Azua
AZ,Azua,AZ.ES,Estebanía
AZ,Azua,AZ.GU,Guayabal
AZ,Azua,AZ.LC,Las Charcas
AZ,Azua,AZ.YV,Las Yayas de Viajama
AZ,Azua,AZ.PL,Padre las Casas
AZ,Azua,AZ.PR,Peralta
AZ,Azua,AZ.PV,Pueblo Viejo
AZ,Azua,AZ.SY,Sabana Yegua
AZ,Azua,AZ.VT,Tábara Arriba
BR,Baoruco,BR.GA,Galván
BR,Baoruco,BR.LR,Los Ríos
BR,Baoruco,BR.NE,Neiba
BR,Baoruco,BR.TM,Tamayo
BR,Baoruco,BR.VJ,Villa Jaragua
BH,Barahona,BH.SC,Barahona
BH,Barahona,BH.CA,Cabral
BH,Barahona,BH.EP,El Peñón
BH,Barahona,BH.EN,Enriquillo
BH,Barahona,BH.FU,Fundación
BH,Barahona,BH.JQ,Jaquimeyes
BH,Barahona,BH.LC,La Ciénaga
BH,Barahona,BH.LS,Las Salinas
BH,Barahona,BH.PA,Paraíso
BH,Barahona,BH.PO,Polo
BH,Barahona,BH.VN,Vicente Noble
DA,Dajabón,DA.DA,Dajabón
DA,Dajabón,DA.EP,El Pino
DA,Dajabón,DA.LC,Loma de Cabrera
DA,Dajabón,DA.PA,Partido
DA,Dajabón,DA.RE,Restauración
NC,Distrito Nacional,NC.DN,Santo Domingo de Guzmán
DU,Duarte,DU.AR,Arenoso
DU,Duarte,DU.CA,Castillo
DU,Duarte,DU.HO,Eugenio María de Hostos
DU,Duarte,DU.LG,Las Guáranas
DU,Duarte,DU.PI,Pimentel
DU,Duarte,DU.SF,San Francisco de Macorís
DU,Duarte,DU.VR,Villa Riva
EP,Elías Piña,EP.BA,Bánica
EP,Elías Piña,EP.CO,Comendador
EP,Elías Piña,EP.EL,El Llano
EP,Elías Piña,EP.HV,Hondo Valle
EP,Elías Piña,EP.JS,Juan Santiago
EP,Elías Piña,EP.PS,Pedro Santana
SE,El Seibo,SE.SC,El Seibo
SE,El Seibo,SE.MI,Miches
ES,Espaillat,ES.CG,Cayetano Germosén
ES,Espaillat,ES.GH,Gaspar Hernández
ES,Espaillat,ES.JN,Jamao al Norte
ES,Espaillat,ES.MC,Moca
HM,Hato Mayor,HM.EV,El Valle
HM,Hato Mayor,HM.HM,Hato Mayor
HM,Hato Mayor,HM.SM,Sabana de la Mar
SC,Hermanas Mirabal,SC.SA,Salcedo
SC,Hermanas Mirabal,SC.TE,Tenares
SC,Hermanas Mirabal,SC.VT,Villa Tapia
IN,Independencia,IN.CR,Cristóbal
IN,Independencia,IN.DU,Duvergé
IN,Independencia,IN.JI,Jimaní
IN,Independencia,IN.LD,La Descubierta
IN,Independencia,IN.ME,Mella
IN,Independencia,IN.PR,Postrer Río
AL,La Altagracia,AL.HI,Higüey
AL,La Altagracia,AL.SR,San Rafael del Yuma
RO,La Romana,RO.GU,Guaymate
RO,La Romana,RO.LR,La Romana
